"POWER","getsockname","send","kill","unlink","close","brk","open","getuid32","time","poll","ioctl","writev","socket","chdir","getrlimit","pipe2","clone","mprotect","prctl","uname","recvfrom","getsockopt","sendmsg","recv","_llseek","gettimeofday","set_robust_list","stat64","fcntl64","munmap","getdents","connect","sendto","rt_sigprocmask","pipe","execve","setsockopt","getpeername","getdents64","write","rt_sigaction","read","futex","shutdown","set_thread_area","fstat64","lseek","statfs","recvmsg","madvise","access","clock_gettime","openat","getcwd","set_tid_address","getgid32","mmap2","ftruncate64","bind","readlink"
"19.9103","8","56747","17","4","113","5","244","14","2","93811","1","44","12","0","1","4","3","32","3","10","1","4","3","51","1","37942","4","55","98","53","2","12","0","4","3","1","16","4","8","39470","3","25075","57219","4","1","76","1","1","66605","2","35","251786","5","0","1","4","118","4","0","7"
"19.8976","8","56585","17","4","113","5","244","14","2","93654","1","44","12","0","1","4","3","32","3","10","1","4","3","51","1","37856","4","55","98","53","2","12","0","4","3","1","16","4","8","39450","3","25080","57193","4","1","76","1","1","66438","2","35","251306","5","0","1","4","118","4","0","7"
"19.90563","8","7825","17","5","119","5","244","14","2","12870","1","44","12","0","1","4","3","32","3","10","1","4","3","51","1","5029","4","55","98","54","2","12","0","4","3","1","16","4","8","6084","3","4326","8798","4","1","76","1","1","9329","3","35","34183","5","0","1","4","118","4","0","7"
"19.94871","6","172245","13","3","101","4","241","10","2","281013","1","33","10","2","1","3","2","37","2","8","1","3","2","37","1","108908","3","53","72","46","2","10","0","3","2","1","12","3","6","140330","3","50260","203469","3","1","73","0","1","207323","1","34","749913","5","2","1","3","117","3","0","5"
"19.93659","6","171811","13","3","101","4","241","10","2","280295","1","33","10","2","1","3","2","37","2","8","1","3","2","37","1","108634","3","53","72","46","2","10","0","3","2","1","12","3","6","139992","3","50134","202966","3","1","73","0","1","206804","1","34","748004","5","2","1","3","117","3","0","5"
"19.95856","6","172259","13","3","101","4","241","10","2","281086","1","33","10","2","1","3","2","37","2","8","1","3","2","37","1","108954","3","53","72","46","2","10","0","3","2","1","12","3","6","140330","3","50264","203471","3","1","73","0","1","207337","1","34","750111","5","2","1","3","117","3","0","5"
"19.90357","6","171895","13","3","101","4","241","10","2","280238","1","33","10","2","1","3","2","37","2","8","1","3","2","37","1","108523","3","53","72","46","2","10","0","3","2","1","12","3","6","140293","3","50246","203416","3","1","73","0","1","206962","1","34","747801","5","2","1","3","117","3","0","5"
"19.98282","6","170213","13","3","101","4","241","10","2","277295","1","33","10","2","1","3","2","37","2","8","1","3","2","37","1","107128","3","53","72","46","2","10","0","3","2","1","12","3","6","140072","3","37028","203094","3","1","73","0","1","205226","1","34","739692","5","2","1","3","117","3","0","5"
"19.98043","6","165512","13","3","101","4","241","10","2","269666","1","33","10","2","1","3","2","37","2","8","1","3","2","37","1","104144","3","53","72","46","2","10","0","3","2","1","12","3","6","136295","3","36033","197616","3","1","73","0","1","199580","1","34","719283","5","2","1","3","117","3","0","5"
"19.91717","8","170051","17","4","119","4","255","14","2","277019","1","44","12","2","1","4","3","37","3","10","1","4","3","49","1","106988","4","54","98","55","2","12","0","4","3","1","16","4","8","139980","3","36993","202963","4","1","81","0","1","205040","2","35","738883","6","2","1","4","126","4","0","7"
"19.94919","8","170299","17","4","119","4","255","14","2","277391","1","44","12","2","1","4","3","37","3","10","1","4","3","49","1","107175","4","54","98","55","2","12","0","4","3","1","16","4","8","140075","3","37006","203088","4","1","81","0","1","205312","2","35","739931","6","2","1","4","126","4","0","7"
"19.94876","8","170119","17","4","119","4","255","14","2","277114","1","44","12","2","1","4","3","37","3","10","1","4","3","49","1","107010","4","54","98","55","2","12","0","4","3","1","16","4","8","140100","3","37001","203135","4","1","81","0","1","205138","2","35","739124","6","2","1","4","126","4","0","7"
"19.95439","8","170127","17","4","119","4","255","14","2","277168","1","44","12","2","1","4","3","37","3","10","1","4","3","49","1","107037","4","54","98","55","2","12","0","4","3","1","16","4","8","140074","3","37020","203097","4","1","81","0","1","205140","2","35","739260","6","2","1","4","126","4","0","7"
"19.93395","8","169893","17","4","121","4","255","14","2","276761","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","106914","4","54","98","55","2","14","0","4","3","1","16","4","8","139781","3","36950","202674","4","1","81","0","1","204830","2","35","738211","6","2","1","4","126","4","0","7"
"19.9822","8","169471","17","4","121","4","255","14","2","276086","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","106609","4","54","98","55","2","14","0","4","3","1","16","4","8","139554","3","36851","202343","4","1","81","0","1","204352","2","35","736357","6","2","1","4","126","4","0","7"
"19.93449","8","170197","17","4","119","4","255","14","2","277287","1","44","12","2","1","4","3","37","3","10","1","4","3","49","1","107104","4","54","98","55","2","12","0","4","3","1","16","4","8","140057","3","37018","203073","4","1","81","0","1","205206","2","35","739602","6","2","1","4","126","4","0","7"
"19.93897","8","170247","17","4","119","4","255","14","2","277320","1","44","12","2","1","4","3","37","3","10","1","4","3","49","1","107121","4","54","98","55","2","12","0","4","3","1","16","4","8","140082","3","37024","203110","4","1","81","0","1","205261","2","35","739707","6","2","1","4","126","4","0","7"
"19.95655","8","170197","17","4","121","4","255","14","2","277260","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","107092","4","54","98","55","2","14","0","4","3","1","16","4","8","140079","3","37018","203095","4","1","81","0","1","205208","2","35","739523","6","2","1","4","126","4","0","7"
"19.94386","8","169875","17","4","121","4","255","14","2","276784","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","106868","4","54","98","55","2","14","0","4","3","1","16","4","8","139914","3","36954","202858","4","1","81","0","1","204846","2","35","738196","6","2","1","4","126","4","0","7"
"19.94792","8","170203","17","4","121","4","255","14","2","277261","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","107092","4","54","98","55","2","14","0","4","3","1","16","4","8","140094","3","37018","203126","4","1","81","0","1","205219","2","35","739529","6","2","1","4","126","4","0","7"
"19.92351","8","170109","17","4","121","4","257","14","2","277116","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","107031","4","55","98","55","2","14","0","4","3","1","16","4","8","140034","3","37017","203035","4","1","81","0","1","205110","2","36","739136","6","2","1","4","126","4","0","7"
"19.94892","8","169961","17","4","121","4","257","14","2","276925","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","106955","4","55","98","55","2","14","0","4","3","1","16","4","8","139894","3","36972","202830","4","1","81","0","1","204927","2","36","738609","6","2","1","4","126","4","0","7"
"19.9497","8","169862","17","4","121","4","257","14","2","276723","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","106860","4","55","98","55","2","14","0","4","3","1","16","4","8","139875","3","36948","202793","4","1","81","0","1","204816","2","36","738065","6","2","1","4","126","4","0","7"
"19.96481","8","170221","17","4","121","4","257","14","2","277314","3","44","14","2","1","4","3","37","3","10","3","4","3","49","1","107119","4","55","98","55","2","14","0","4","3","1","16","4","8","140074","3","37028","203095","4","1","81","0","1","205232","2","36","739673","6","2","1","4","126","4","0","7"
"19.92579","8","170075","17","4","116","4","247","14","2","277122","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107001","4","54","98","53","2","14","0","4","3","1","16","4","8","140075","3","37031","203098","4","1","77","0","1","205086","2","35","739094","5","0","1","4","121","4","0","7"
"19.96036","8","169911","17","4","116","4","247","14","2","276835","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","106912","4","54","98","53","2","14","0","4","3","1","16","4","8","139874","3","36953","202800","4","1","77","0","1","204872","2","35","738363","5","0","1","4","121","4","0","7"
"19.92316","8","170135","17","4","116","4","247","14","2","277126","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107033","4","54","98","53","2","14","0","4","3","1","16","4","8","140034","3","36996","203035","4","1","77","0","1","205136","2","35","739171","5","0","1","4","121","4","0","7"
"19.94631","8","169821","17","4","116","4","247","14","2","276674","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","106845","4","54","98","53","2","14","0","4","3","1","16","4","8","139837","3","36938","202747","4","1","77","0","1","204773","2","35","737930","5","0","1","4","121","4","0","7"
"19.99339","8","170055","17","4","116","4","247","14","2","277001","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107002","4","54","98","53","2","14","0","4","3","1","16","4","8","139954","3","36994","202924","4","1","77","0","1","205036","2","35","738854","5","0","1","4","121","4","0","7"
"19.98478","8","170195","17","4","116","4","247","14","2","277219","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107081","4","54","98","53","2","14","0","4","3","1","16","4","8","140074","3","37016","203102","4","1","77","0","1","205206","2","35","739432","5","0","1","4","121","4","0","7"
"19.93593","8","170163","17","4","116","4","247","14","2","277195","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107060","4","54","98","53","2","14","0","4","3","1","16","4","8","140078","3","37010","203090","4","1","77","0","1","205174","2","35","739347","5","0","1","4","121","4","0","7"
"19.96387","8","170173","17","4","116","4","247","14","2","277214","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107063","4","54","98","53","2","14","0","4","3","1","16","4","8","140095","3","37032","203127","4","1","77","0","1","205189","2","35","739392","5","0","1","4","121","4","0","7"
"19.93657","8","170119","17","4","116","4","247","14","2","277117","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107034","4","54","98","53","2","14","0","4","3","1","16","4","8","140017","3","37023","203006","4","1","77","0","1","205114","2","35","739144","5","0","1","4","121","4","0","7"
"19.94404","8","169859","17","4","116","4","247","14","2","276709","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","106865","4","54","98","53","2","14","0","4","3","1","16","4","8","139861","3","36949","202789","4","1","77","0","1","204816","2","35","738036","5","0","1","4","121","4","0","7"
"19.93572","8","170051","17","4","116","4","247","14","2","277081","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","106984","4","54","98","53","2","14","0","4","3","1","16","4","8","140074","3","36992","203100","4","1","77","0","1","205062","2","35","738984","5","0","1","4","121","4","0","7"
"19.92695","8","170155","17","4","116","4","247","14","2","277212","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107057","4","54","98","53","2","14","0","4","3","1","16","4","8","140074","3","37007","203102","4","1","77","0","1","205166","2","35","739373","5","0","1","4","121","4","0","7"
"19.96836","8","169743","17","4","116","4","247","14","2","276539","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","106790","4","54","98","53","2","14","0","4","3","1","16","4","8","139724","3","36939","202592","4","1","77","0","1","204663","2","35","737572","5","0","1","4","121","4","0","7"
"19.94114","8","170047","17","4","116","4","247","14","2","277053","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","106984","4","54","98","53","2","14","0","4","3","1","16","4","8","140039","3","36995","203048","4","1","77","0","1","205049","2","35","738927","5","0","1","4","121","4","0","7"
"19.939","8","170129","17","4","116","4","247","14","2","277154","3","44","14","0","1","4","3","35","3","10","3","4","3","49","1","107033","4","54","98","53","2","14","0","4","3","1","16","4","8","140074","3","37016","203096","4","1","77","0","1","205140","2","35","739218","5","0","1","4","121","4","0","7"
"19.97218","9","170041","17","4","115","5","247","14","3","277030","1","44","13","0","1","4","3","35","3","10","1","4","3","49","2","106972","4","53","98","53","2","12","1","4","3","1","16","4","8","140054","3","36976","203069","4","1","77","0","1","205052","2","35","738880","5","0","1","4","122","4","1","7"
"19.9436","9","170165","17","4","115","5","247","14","3","277225","1","44","13","0","1","4","3","35","3","10","1","4","3","49","2","107068","4","53","98","53","2","12","1","4","3","1","16","4","8","140075","3","37018","203094","4","1","77","0","1","205181","2","35","739425","5","0","1","4","122","4","1","7"
"19.95053","9","170095","17","4","115","4","247","14","3","277105","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","107013","4","53","98","53","2","12","1","4","3","1","16","4","8","140074","3","37005","203100","4","1","77","0","1","205111","2","35","739098","5","0","1","4","121","4","1","7"
"19.95273","9","169905","17","4","115","4","247","14","3","276784","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","106914","4","53","98","53","2","12","1","4","3","1","16","4","8","139814","3","36971","202719","4","1","77","0","1","204856","2","35","738273","5","0","1","4","121","4","1","7"
"19.93568","9","170211","17","4","115","4","247","14","3","277266","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","107083","4","53","98","53","2","12","1","4","3","1","16","4","8","140138","3","37015","203189","4","1","77","0","1","205243","2","35","739539","5","0","1","4","121","4","1","7"
"19.9468","9","170079","17","4","115","4","247","14","3","277134","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","107013","4","53","98","53","2","12","1","4","3","1","16","4","8","140074","3","37020","203098","4","1","77","0","1","205095","2","35","739144","5","0","1","4","121","4","1","7"
"19.93419","9","170005","17","4","115","4","247","14","3","277010","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","106951","4","53","98","53","2","12","1","4","3","1","16","4","8","140018","3","37015","203018","4","1","77","0","1","205007","2","35","738802","5","0","1","4","121","4","1","7"
"19.92967","9","170107","17","4","115","4","247","14","3","277161","1","44","13","0","1","4","3","35","3","10","1","4","3","49","1","107026","4","53","98","53","2","12","1","4","3","1","16","4","8","140075","3","37021","203100","4","1","77","0","1","205123","2","35","739225","5","0","1","4","121","4","1","7"
